"t"|"78108906"|"34004716"
"t"|"78108907"|"34004717"
"t"|"78108908"|"34004718"
"t"|"78108910"|"34004720"
"p"|"78108909"|"34004719"
"p"|"78108912"|"34004721"
"t"|"78108913"|"34004722"
"t"|"78108915"|"34004723"
"t"|"78108916"|"34004724"
"t"|"78108917"|"34004725"
"p"|"78109032"|"34004805"
"w"|"78109033"|"34004806"
"w"|"78109038"|"34004809"
"p"|"78109036"|"34004807"
"p"|"78109037"|"34004808"
"g"|"78109043"|"34004812"
"g"|"78109044"|"34004813"
"p"|"78109042"|"34004810"
"g"|"78109042"|"34004811"
"g"|"78109047"|"34004816"
"g"|"78109045"|"34004814"
"g"|"78109046"|"34004815"
"g"|"78109051"|"34004821"
"g"|"78109052"|"34004822"
"g"|"78109053"|"34004823"
"p"|"78109048"|"34004817"
"g"|"78109048"|"34004818"
"g"|"78109049"|"34004819"
"g"|"78109050"|"34004820"
"p"|"78109054"|"34004824"
"g"|"78109054"|"34004825"
"g"|"78109055"|"34004826"
"g"|"78109056"|"34004827"
"g"|"78109059"|"34004830"
"g"|"78109057"|"34004828"
"g"|"78109058"|"34004829"
"g"|"78109065"|"34004837"
"g"|"78109061"|"34004833"
"g"|"78109062"|"34004834"
"p"|"78109060"|"34004831"
"g"|"78109060"|"34004832"
"g"|"78109064"|"34004836"
"g"|"78109063"|"34004835"
"g"|"78109069"|"34004842"
"g"|"78109070"|"34004843"
"g"|"78109067"|"34004840"
"g"|"78109068"|"34004841"
"p"|"78109066"|"34004838"
"g"|"78109066"|"34004839"
"g"|"78109071"|"34004844"
"p"|"78109072"|"34004845"
"g"|"78109072"|"34004846"
"g"|"78109074"|"34004848"
"g"|"78109073"|"34004847"
"g"|"78109075"|"34004849"
"g"|"78109079"|"34004854"
"g"|"78109078"|"34004853"
"g"|"78109077"|"34004852"
"p"|"78109076"|"34004850"
"g"|"78109076"|"34004851"
"g"|"78109084"|"34004858"
"p"|"78109083"|"34004857"
"p"|"78109086"|"34004859"
"g"|"78109087"|"34004860"
"g"|"78109090"|"34004862"
"p"|"78109089"|"34004861"
"p"|"78109096"|"34004863"
"g"|"78109100"|"34004870"
"z"|"78109100"|"34004871"
"g"|"78109097"|"34004864"
"w"|"78109097"|"34004865"
"g"|"78109098"|"34004866"
"z"|"78109098"|"34004867"
"g"|"78109099"|"34004868"
"z"|"78109099"|"34004869"
"g"|"78109101"|"34004872"
"z"|"78109101"|"34004873"
"g"|"78109148"|"34004914"
"g"|"78109146"|"34004912"
"g"|"78109147"|"34004913"
"p"|"78109143"|"34004908"
"g"|"78109143"|"34004909"
"g"|"78109144"|"34004910"
"g"|"78109145"|"34004911"
"t"|"78109150"|"34004916"
"p"|"78109149"|"34004915"
"p"|"78109151"|"34004917"
"t"|"78109152"|"34004918"
"t"|"78109153"|"34004919"
"p"|"78108966"|"34004751"
"w"|"78108967"|"34004752"
"w"|"78108993"|"34004781"
"w"|"78108994"|"34004782"
"w"|"78108995"|"34004783"
"w"|"78108996"|"34004784"
"p"|"78108992"|"34004780"
"p"|"78108997"|"34004785"
"t"|"78108998"|"34004786"
"t"|"78108999"|"34004787"
"t"|"78109001"|"34004788"
"t"|"78109002"|"34004789"
