"Ustic"|"26150198"|"11341612"
"Ustic"|"26150199"|"11341640"
"Aridic (torric)"|"26150227"|"11341632"
"Ustic"|"26150229"|"11341673"
"Aquic"|"26150230"|"11341674"
"Aquic"|"26150231"|"11341652"
"Aquic"|"26150232"|"11341653"
"Aquic"|"26150233"|"11341676"
"Aquic"|"26150234"|"11341677"
"Aquic"|"26150235"|"11341615"
"Aquic"|"26150236"|"11341616"
"Ustic"|"26150201"|"11341624"
"Aquic"|"26150238"|"11341637"
"Aquic"|"26150239"|"11341678"
"Aquic"|"26150240"|"11341608"
"Ustic"|"26150241"|"11341671"
"Aquic"|"26150242"|"11341672"
"Ustic"|"26150202"|"11341683"
"Ustic"|"26150203"|"11341623"
"Ustic"|"26150204"|"11341659"
"Aquic"|"26150259"|"11341668"
"Udic"|"26150260"|"11341669"
"Udic"|"26150261"|"11341670"
"Ustic"|"26150209"|"11341621"
"Aridic (torric)"|"26150210"|"11341622"
"Ustic"|"26150217"|"11341650"
"Ustic"|"26150218"|"11341651"
