"parasesquic"|"26150198"|"20684114"
"parasesquic"|"26150199"|"20684172"
"parasesquic"|"26150227"|"20684146"
"kaolinitic"|"26150100"|"20684137"
"mixed"|"26150229"|"20684224"
"mixed"|"26150230"|"20684225"
"mixed"|"26150110"|"20684122"
"mixed"|"26150231"|"20684192"
"mixed"|"26150232"|"20684193"
"mixed"|"26150233"|"20684234"
"mixed"|"26150234"|"20684235"
"mixed"|"26150235"|"20684117"
"mixed"|"26150236"|"20684118"
"carbonatic"|"26150201"|"20684128"
"smectitic"|"26150117"|"20684243"
"smectitic"|"26150238"|"20684158"
"smectitic"|"26150239"|"20684238"
"smectitic"|"26150240"|"20684101"
"mixed"|"26150241"|"20684222"
"smectitic"|"26150242"|"20684223"
"mixed"|"26150202"|"20684253"
"mixed"|"26150203"|"20684127"
"mixed"|"26150204"|"20684199"
"mixed"|"26150259"|"20684219"
"ferruginous"|"26150260"|"20684220"
"parasesquic"|"26150261"|"20684221"
"kaolinitic"|"26150209"|"20684125"
"parasesquic"|"26150210"|"20684126"
"mixed"|"26150155"|"20684177"
"mixed"|"26150216"|"20684189"
"parasesquic"|"26150217"|"20684190"
"parasesquic"|"26150218"|"20684191"
"parasesquic"|"26150168"|"20684228"
"mixed"|"26150183"|"20684164"
"not used"|"26150189"|"20684186"
"not used"|"26150192"|"20684153"
"not used"|"26150194"|"20684093"
