"Loamy sand"||"158387087"|"161083776"
"Sand"||"158387088"|"161083777"
"Silty clay"||"158387315"|"161083986"
"Silty clay"||"158387316"|"161083987"
"Clay"||"158387317"|"161083988"
"Silty clay loam"||"158387319"|"161083990"
"Silty clay loam"||"158387320"|"161083991"
"Silty clay loam"||"158387321"|"161083992"
"Silty clay loam"||"158387322"|"161083993"
"Silty clay loam"||"158387318"|"161083989"
"Silty clay"||"158387328"|"161083999"
"Silty clay"||"158387323"|"161083994"
"Silty clay"||"158387324"|"161083995"
"Silty clay loam"||"158387325"|"161083996"
"Silty clay"||"158387326"|"161083997"
"Silty clay loam"||"158387327"|"161083998"
"Silty clay"||"158387329"|"161084000"
"Silty clay loam"||"158387330"|"161084001"
"Silty clay loam"||"158387331"|"161084002"
"Silty clay"||"158387332"|"161084003"
"Silty clay loam"||"158387131"|"161083820"
"Silty clay loam"||"158387132"|"161083821"
"Clay"||"158387168"|"161083857"
"Silty clay"||"158387169"|"161083858"
"Clay"||"158387170"|"161083859"
|"Bedrock"|"158387186"|"161083875"
"Silty clay"||"158387183"|"161083872"
"Silty clay"||"158387184"|"161083873"
"Silty clay loam"||"158387185"|"161083874"
|"Bedrock"|"158387187"|"161083876"
|"Bedrock"|"158387188"|"161083877"
|"Bedrock"|"158387191"|"161083880"
"Clay loam"||"158387190"|"161083879"
"Silty clay loam"||"158387189"|"161083878"
"Silty clay"||"158387197"|"161083886"
"Silty clay"||"158387198"|"161083887"
"Silty clay"||"158387199"|"161083888"
