"Backslope"|"41992341"|"17607443"
"Backslope"|"41992232"|"17607362"
"Toeslope"|"41992232"|"17607363"
"Backslope"|"41992397"|"17607466"
"Toeslope"|"41992478"|"17607489"
"Toeslope"|"41992212"|"17607341"
"Toeslope"|"41992213"|"17607342"
"Footslope"|"41992368"|"17607450"
"Toeslope"|"41992293"|"17607410"
"Toeslope"|"41992294"|"17607411"
"Toeslope"|"41992349"|"17607444"
"Toeslope"|"41992254"|"17607382"
"Toeslope"|"41992256"|"17607383"
"Toeslope"|"41992300"|"17607416"
"Toeslope"|"41992301"|"17607417"
"Toeslope"|"41992189"|"17607323"
"Toeslope"|"41992190"|"17607324"
"Toeslope"|"41992201"|"17607331"
|"41992357"|"17607446"
"Toeslope"|"41992306"|"17607422"
"Toeslope"|"41992225"|"17607354"
"Toeslope"|"41992302"|"17607418"
"Toeslope"|"41992174"|"17607309"
"Toeslope"|"41992289"|"17607408"
"Toeslope"|"41992292"|"17607409"
"Toeslope"|"41992316"|"17607429"
"Toeslope"|"41992198"|"17607330"
"Toeslope"|"41992263"|"17607389"
"Toeslope"|"41992285"|"17607405"
"Backslope"|"41992287"|"17607406"
"Backslope"|"41992288"|"17607407"
"Footslope"|"41992353"|"17607445"
"Toeslope"|"41992197"|"17607329"
"Footslope"|"41992250"|"17607378"
"Toeslope"|"41992252"|"17607379"
"Backslope"|"41992253"|"17607381"
"Toeslope"|"41992253"|"17607380"
"Backslope"|"41992412"|"17607468"
"Footslope"|"41992296"|"17607413"
"Footslope"|"41992229"|"17607359"
"Backslope"|"41992247"|"17607375"
"Backslope"|"41992219"|"17607348"
"Footslope"|"41992171"|"17607306"
