"Bt3"||"B"||3|69|74|79|120|122|140|46|48|66|0|0|0|0|4|6|94|96|100|87|91|100|80|91|100|77|88|99|5|7|10|0|0|0|0|0|0|0|0|0|0|0.6|1|6|6.4|7|35|35|40|||||||50|58|60||0||1|1.14|2||||1.22|1.23|1.42||||1.38|1.38|1.55||1.41|2.5|4.23|0.12|0.13|0.14||||30|33|36|24.2|28.9|32.7|39|47|51|3|4.1|5.4|56|64|69|35|40|43|21|28|43|".10"|".10"|0|0|0|0|0|0|0|0|0|0|0|0||||5.7|7.9|9.4|3|4|5.9|4.5|4.9|6||4.4||||||||10.6|15.1|18.3|||||||||||||||||||||"26150199"|"78108916"
"Bt2"||"B"||2|40|46|50|69|74|79|23|28|33|0|0|0|0|4|6|94|96|100|87|91|100|80|91|100|79|90|100|0|3|5|0|0|0|0|0|0|0|0|0|0|0.3|1|2|2.7|3|35|39|40|||||||50|58|75||0||1|1.74|3||||1.22|1.24|1.42||||1.38|1.46|1.55||0.42|2.3|4.23|0.12|0.13|0.14||||30.1|33.2|39.6|24.2|29.5|35.6|39|46|50|4.4|6.5|30|56|65|83|35|41|54|21|47|51|".10"|".10"|0|0|0|0|0|0|0|0|0|0|0|0||||5.7|8.5|12|2.8|4.1|7|4.5|4.8|6||4.4||||||||10.6|16.6|23.8|||||||||||||||||||||"26150199"|"78108917"
"H1"||"H"||1||0|||15|||||0|3|15|0|3|10|85|90|100|75|85|100|40|50|65|0|3|5||92.9|||18.3|||30.7|||22.6|||15.7|||5.6|||6.6||||||||0|0.5|1||0||0|0.05|0.1||||1.35|1.48|1.6||||1.43|1.56|1.63||42.34|92|141|0.03|0.04|0.05|3.4|6.9|9.4|1.2|3.3|5.1|0|0.3|0.7|26|37|47|0|1.5|2.9|0|7|14|0|0|0|0|0|0|".05"|".05"|0|95|99|0|0|0|0|3|5|16|24|32||||||||||6.1|7|7.8|||||||||||||||||||||||||||||||||"26150097"|"78108662"
"H2"||"H"||2||15|||152|||||0|3|15|0|3|10|85|90|100|75|85|100|40|50|65|0|3|5||92.9|||18.3|||30.7|||22.6|||15.7|||5.6|||6.6||||||||0|0.5|1||0||0|0.05|0.1||||1.35|1.48|1.6||||1.43|1.56|1.63||42.34|92|141|0.03|0.04|0.05|3.4|6.9|9.4|1.2|3.3|5.1|0|0.3|0.7|26|37|47|0|1.5|2.9|0|7|14|0|0|0|0|0|0|".05"|".05"|0|95|99|0|0|0|0|3|5|16|24|32||||||||||6.1|7|7.8|||||||||||||||||||||||||||||||||"26150097"|"78108663"
"2R"|2|"R"|||38|48|48|68|73|78|20|25|30||||||||||||||||||||0|||0|||0|||0|||0|||0|||100||||||||0|0|0||0||0|0|0||||||||||||||0.42|21.38|42.34|0|0|0||||||||||||||||0|0|0|0|0|0|0|0|0|".02"|".02"|95|97|99|0|0|0|0|0||0|0|0|||||||||||||||||||||||||||||||||||||||||||||"26150227"|"78109034"
"Ap"||"A"|||0|0|0|15|20|25|15|20|25|0|5|9|11|15|18|89|91|93|77|84|88|71|81|88|63|72|82|5|18.5|20|0.2|1.3|1.4|0.5|2|2|0.8|2.9|3.1|1.6|5.9|9.7|1.7|6.4|12.2|40|44|60|||||||35|37.5|40|0|0|0|2|3|4||||1.1|1.22|1.33||||1.17|1.29|1.35||5|25|45|0.09|0.11|0.12||||24.7|28.2|31.5|14.6|17.9|21.3|35|41|49|2.2|2.7|3|46|51|56|24|26|28|13|19|25|".15"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|12.1|14.4|16.2||||11.2|13.8|16.2|6.6|6.7|7.3||||||||||1.8|2.8|3.3|0|0|0.1||||||||||||||||||"26150227"|"78109032"
"Bw"||"B"|||15|20|25|38|48|48|13|28|28|0|5|9|11|15|17|74|79|85|59|70|83|54|68|83|48|60|78|5|18.5|20|0.2|1.3|1.4|0.5|2|2|0.8|2.9|3.1|1.6|5.9|9.7|1.7|6.4|12.2|40|44|60|||||||35|37.5|40|0|0|0|0.5|0.75|1||||1.1|1.19|1.27||||1.17|1.26|1.33||5|25|45|0.1|0.11|0.12||||21.3|24.7|28.1|11.7|14.3|17.1|33|40|47|1.9|2.3|2.9|43|46|50|24|26|28|7|13|22|".15"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|11.3|12.5|13.7||||11.3|14|15.2|7.4|7.5|7.8||||||||||0.8|1.3|1.5|0|0|0||||||||||||||||||"26150227"|"78109033"
"R"||"R"|||0|0|0|150|152|155|150|152|155||||||||||||||||||||0|||0|||0|||0|||0|||0|||0||||||||0|0|0||0||0.1|0.2|0.25||||||||||||||1.4|10|42|0|0|0|||||||||||||0|0|0|0|0|14|0|0|0|0|0|0|".02"|".02"||100||0|0|0|0|0|0|0|0|0|0|0|0||||||||||||||||||||||||||||||||||||||||"Very high"||"26150228"|"78109035"
"H3"||"H"||3||74|||99|||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|||0|||0|||0|||0|||0|||0||||||||0|0|0||0||0|0|0||||||||||||||1|2|42|0|0|0|||||||||||||0|0|0|0|0|0|0|0|0||||".02"|".02"|95|97|99|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||"26150100"|"78108670"
"H1"||"H"||1||0|||20|||||0|0|0|0|0|0|100|100|100|100|100|100|95|97.5|100|85|92.5|100||18.5|||1.3|||2|||2.9|||5.9|||6.4|||44||||||||35|37.5|40||0||2|3|4||||1.1|1.2|1.35||||1.15|1.25|1.4||4.23|9|14|0.09|0.11|0.14||||32.3|33.5|34.7|18.9|21.1|23.2|45|50|54|0|1.5|2.9|35|40|45|10|15|20|8|15|23|".17"|".17"|0|0|0|0|0|0|0|3|4|0|0|0|10.3|14.4|17.8|||||||6.6|7|7.3|||||||||||||||||||||||||||||||||"26150100"|"78108668"
