|"594115"|"468378"|"35653219"
2858|"594116"|"468378"|"35653378"
2858|"594120"|"468378"|"35653607"
|"594123"|"468378"|"35653676"
|"594115"|"468379"|"35653274"
1587|"594116"|"468379"|"35653433"
1587|"594120"|"468379"|"35653620"
|"594123"|"468379"|"35653681"
|"594115"|"468380"|"35653345"
1124|"594116"|"468380"|"35653505"
1124|"594117"|"468380"|"35653555"
|"594126"|"468380"|"35653716"
|"594115"|"468381"|"35653249"
10915|"594116"|"468381"|"35653408"
10915|"594117"|"468381"|"35653529"
|"594133"|"468381"|"35653830"
|"594115"|"468384"|"35653240"
2697|"594116"|"468384"|"35653399"
2697|"594117"|"468384"|"35653525"
|"594125"|"468384"|"35653703"
|"594115"|"468394"|"35653313"
1939|"594116"|"468394"|"35653472"
1939|"594117"|"468394"|"35653544"
|"594127"|"468394"|"35653735"
|"594115"|"468395"|"35653226"
462|"594116"|"468395"|"35653385"
462|"594117"|"468395"|"35653519"
|"594127"|"468395"|"35653721"
|"594115"|"468396"|"35653290"
2093|"594116"|"468396"|"35653449"
2093|"594117"|"468396"|"35653538"
|"594130"|"468396"|"35653769"
|"594115"|"468397"|"35653322"
1107|"594116"|"468397"|"35653481"
1107|"594117"|"468397"|"35653545"
|"594130"|"468397"|"35653777"
|"594115"|"468398"|"35653222"
605|"594116"|"468398"|"35653381"
605|"594117"|"468398"|"35653517"
|"594130"|"468398"|"35653761"
|"594115"|"468401"|"35653231"
5241|"594116"|"468401"|"35653390"
5241|"594117"|"468401"|"35653522"
|"594131"|"468401"|"35653788"
|"594115"|"468411"|"35653330"
374|"594116"|"468411"|"35653489"
374|"594120"|"468411"|"35653639"
|"594127"|"468411"|"35653737"
|"594115"|"468413"|"35653261"
250|"594116"|"468413"|"35653420"
250|"594120"|"468413"|"35653616"
|"594127"|"468413"|"35653727"
|"594115"|"468414"|"35653325"
581|"594116"|"468414"|"35653484"
581|"594120"|"468414"|"35653637"
|"594127"|"468414"|"35653736"
|"594115"|"468415"|"35653209"
1718|"594116"|"468415"|"35653368"
1718|"594120"|"468415"|"35653601"
|"594127"|"468415"|"35653719"
|"594115"|"468417"|"35653312"
369|"594116"|"468417"|"35653471"
369|"594119"|"468417"|"35653590"
|"594127"|"468417"|"35653734"
|"594115"|"468420"|"35653341"
1527|"594116"|"468420"|"35653501"
1527|"594117"|"468420"|"35653553"
|"594127"|"468420"|"35653740"
|"594115"|"468424"|"35653230"
1950|"594116"|"468424"|"35653389"
1950|"594117"|"468424"|"35653521"
|"594127"|"468424"|"35653722"
|"594115"|"468425"|"35653293"
835|"594116"|"468425"|"35653452"
835|"594119"|"468425"|"35653588"
|"594127"|"468425"|"35653731"
|"594115"|"468451"|"35653311"
2550|"594116"|"468451"|"35653470"
2550|"594120"|"468451"|"35653629"
|"594130"|"468451"|"35653774"
|"594115"|"468470"|"35653229"
7434|"594116"|"468470"|"35653388"
7434|"594117"|"468470"|"35653520"
|"594125"|"468470"|"35653702"
|"594115"|"468479"|"35653279"
567|"594116"|"468479"|"35653438"
567|"594120"|"468479"|"35653621"
|"594132"|"468479"|"35653820"
|"594115"|"468499"|"35653289"
694|"594116"|"468499"|"35653448"
694|"594120"|"468499"|"35653623"
|"594123"|"468499"|"35653683"
|"594115"|"468500"|"35653316"
307|"594116"|"468500"|"35653475"
307|"594120"|"468500"|"35653632"
|"594123"|"468500"|"35653685"
14020|"594116"|"468509"|"35653491"
14020|"594117"|"468509"|"35653548"
|"594115"|"468519"|"35653266"
460|"594116"|"468519"|"35653425"
460|"594120"|"468519"|"35653617"
|"594131"|"468519"|"35653794"
|"594115"|"468531"|"35653286"
37545|"594116"|"468531"|"35653445"
37545|"594119"|"468531"|"35653587"
|"594131"|"468531"|"35653798"
|"594115"|"468532"|"35653195"
7759|"594116"|"468532"|"35653354"
7759|"594119"|"468532"|"35653577"
|"594130"|"468532"|"35653755"
|"594115"|"468533"|"35653257"
56427|"594116"|"468533"|"35653416"
56427|"594121"|"468533"|"35653648"
|"594130"|"468533"|"35653766"
|"594115"|"468535"|"35653201"
7456|"594116"|"468535"|"35653360"
7456|"594119"|"468535"|"35653578"
|"594125"|"468535"|"35653700"
